mass_A
t,x,v_{x},a_{x}
0.0,-0.14751037947756426,,
0.05,-0.1452338716345106,0.05342573678534734,
0.1,-0.14216780579902952,0.04076704946906057,0.08281379998641793
0.15000000000000002,-0.14115716668760453,0.05039481066387823,0.3260830585891209
0.2,-0.1371283247326417,0.08439033131329862,0.14864588243868895
0.25,-0.13271813355627468,0.06530807148428389,-0.485082433887669
0.30000000000000004,-0.1305975175842133,0.03049774232659937,-0.08420866439137911
0.35000000000000003,-0.12966835932361473,0.05198252479272431,-0.05310160083483682
0.4,-0.12539926510494087,0.04255103204392786,0.18582562311987974
0.45,-0.12541325611922197,0.04682684065093932,0.035098711937905445
0.5,-0.12071658103984695,0.0691754998067749,0.407836868160305
0.55,-0.11849570613854446,0.07013356572460282,-0.3978215638689584
0.6000000000000001,-0.11370322446738665,0.047224146817518034,-0.07765351520626013
0.65,-0.11377329145679266,0.03902613984123603,0.07867770060808622
0.7000000000000001,-0.10980061048326306,0.07432218543540338,0.29786666134277034
0.75,-0.10634107291325232,0.06252375569113429,-0.38730530822791454
0.8,-0.10354823491414963,0.03709947311092067,-0.44615470066923013
0.8500000000000001,-0.10263112560216026,0.01410657594701044,-0.3518521712127015
0.9,-0.10213757731944859,0.004194602983421135,0.3361410343484023
0.9500000000000001,-0.10221166530381814,0.04068073511708885,0.29452227757050764
1.0,-0.09806950380773968,0.05104654967308089,-0.14439175247883537
1.05,-0.09710701033651006,0.01214811665094715,-0.5233121365557755
1.1,-0.09685469214264497,0.0017058613376278058,-0.14963478660212026
1.1500000000000001,-0.09693642420274728,-0.002615178446575071,-0.2917590129415663
1.2000000000000002,-0.0971162099873025,-0.024313320917024168,-0.08062964389577557
1.25,-0.09936775629444969,-0.020029074900415833,0.16112736836455505
1.3,-0.09911911747734406,0.0022862494361389632,0.09883247115719762
1.35,-0.0991391313508358,-0.012724497127147861,-0.24238421601890967
1.4000000000000001,-0.10039156719005884,-0.025084479294171912,0.018573851384400337
1.4500000000000002,-0.10164757928025298,-0.011117166385867728,-0.5820532400646397
1.5,-0.10150328382864562,-0.0690126000908201,-0.6451693186608517
1.55,-0.10854883928933498,-0.10351873633017612,-0.41917464376064667
1.6,-0.11185515746166325,-0.08699419497807118,0.49879327625566006
1.6500000000000001,-0.11724825878714212,-0.0703082404235591,0.5808111342180282
1.7000000000000002,-0.11888598150401916,-0.017396327690984526,0.4100818821937664
1.75,-0.11898789155624057,-0.026747012408326342,0.059777735919119876
1.8,-0.1215606827448518,-0.02452018148001086,-0.5488379372044351
1.85,-0.12143990970424165,-0.061302510767607225,-0.29831430265211506
1.9000000000000001,-0.12769093382161253,-0.0824816687519762,-0.3870675234057113
1.9500000000000002,-0.1296880765794393,-0.07390151226788691,0.5264525848731518
2.0,-0.13508108504840122,-0.05339639613125201,0.4521844387070062
2.0500000000000003,-0.13502771619256448,-0.0071034872570311,0.4475958643455628
2.1,-0.13579143377410433,-0.01831719018789799,-0.17216648022929731
2.15,-0.13685943521135427,-0.023689473555644772,0.07216428001659854
2.2,-0.1381603811296688,-0.013167538091768396,0.19943157209705284
2.25,-0.1381761890205311,1.8647914010839136E-4,0.017091003009986845
2.3000000000000003,-0.13814173321565795,-0.01142075684971688,-0.07161695301953001
2.35,-0.1393182647055028,-0.012134940722689894,0.07030998467366598
2.4000000000000004,-0.13935522728792696,4.292113463320929E-4,-0.02530929596479353
2.45,-0.1392753435708696,-0.01376527262220233,-0.2617818777608006
2.5,-0.14073175455014716,-0.03015817643941266,-0.465617626124396
2.5500000000000003,-0.14229116121481086,-0.055021793335017145,0.01993399978626257
2.6,-0.1462339338836489,-0.040330781478986555,0.08655782607327489
2.6500000000000004,-0.14632423936270952,-0.028185647604718565,0.0038213939289623226
2.7,-0.14905249864412076,-0.05318617852195607,-0.01909786614576299
2.75,-0.1516428572149051,-0.029167207339339037,0.45057711513135057
2.8000000000000003,-0.15196921937805466,-0.0024406989097887823,0.35930204357470485
2.85,-0.151886927105884,0.004314993650048935,-0.029474792296527996
2.9000000000000004,-0.15153772001304977,-0.0036851691324176926,-0.16107262019652413
2.95,-0.15225544401912575,-0.015113516111698444,-0.033056903859722105
3.0,-0.1530490716242196,-0.006957166215231923,0.056325924292761856
3.0500000000000003,-0.15295116064064895,-0.005727304792759514,0.024686107932188173
3.1,-0.15362180210349555,-0.008639894003251172,-0.11486004398289942
