time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,27.304104211120688,-51.499553971535605,130.5746771939198,160.10989008959834,-936.759725338716,133.43934378980072,-0.049458433871845606,-0.024487837922632157,-0.7031805555169297,0.7088662183061917,-0.014619202644916143,0.00552238224717882,0.5987772410732715,0.8007631346291014
0.05,28.174508603778875,-51.605176044965255,130.51407210505357,160.0204164167507,-936.7939175559931,133.4712106521528,-0.04392642147860082,-0.02405694077014019,-0.7116596232959655,0.700736978949385,-0.014470471208001627,0.0048927476997232865,0.5992362511784768,0.800426499908974
0.05,30.21569470285313,-51.68386230871881,130.2364699166304,159.21159885555355,-936.8710832891934,133.46379214440432,-0.04142623140184433,-0.01995370945825299,-0.7095928219480894,0.7031100510378469,-0.011451222743266447,0.0038299596407826006,0.6081295625145607,0.7937459518653831
0.05,32.47832137873927,-51.78113944801382,130.13775667085244,158.53283940861402,-936.9031503034532,133.44585705846777,-0.04072720236017308,-0.018536611615963722,-0.7095987079773999,0.7031837332123927,-0.01130278141930521,0.004061865651497213,0.6084033663466552,0.7935370767630674
0.05,34.99848229700995,-51.828407832004004,130.07083407437008,157.43537438644847,-936.3728695958164,133.3201071066214,-0.040489014432112655,-0.018865429717157576,-0.7095282197202561,0.7032598671135067,-0.013517962806929646,0.017314856538948816,0.6316851995562323,0.7749137171880424
0.05,36.60011464001437,-51.82767483756088,130.00818735041076,156.28674106998056,-936.1471472451624,133.41443449613942,-0.03914482280326688,-0.01770601359970536,-0.7099501316558448,0.7029402467436024,-0.01623312475783811,0.01648000714276124,0.6484857440208188,0.7608752426166435
0.05,36.96684918705829,-51.823576797551674,130.05489628556253,156.19401666595758,-936.2304511815513,133.43833948148955,-0.04033206213471903,-0.018995986479585177,-0.708392097670609,0.7044097622971043,-0.01598539431541181,0.01612534254185678,0.6492623468909711,0.7602255227273793
0.05,39.35350436722991,-51.84105118136013,129.99094965841505,155.12433525505338,-936.6240120427859,133.45994197069928,-0.03896202653815929,-0.01769971357090843,-0.7100524826707268,0.7028471757648919,-0.014869403558846327,0.009927817536685112,0.6341178607528358,0.7730296746897946
0.05,43.02157520198942,-51.78731753707583,130.04638319744413,154.32940437122446,-936.630013597866,133.44849149513811,-0.03981674922777167,-0.018178259980774488,-0.7094749035718266,0.7033701291260182,-0.014779727257701129,0.010172901735535565,0.6343042986823137,0.7728752346954877
0.05,45.53857281285552,-51.805109363118255,130.00310334705028,154.31178175363593,-936.6068122490641,133.4561318936064,-0.03863831299933745,-0.017701423861165445,-0.7095733347532068,0.703348720741757,-0.015037110418060056,0.009982706009469345,0.634003315576347,0.7731196716739281
0.05,49.16926630181863,-51.78983977435342,130.02421900519417,154.3138897482681,-936.6254828863445,133.45091799682154,-0.038347487095620865,-0.017856989657001027,-0.7097380549764217,0.7031944905018289,-0.01502554507384734,0.00991209466131306,0.6341486012548287,0.7730016396497509
0.05,51.90805301936949,-51.71728831100304,130.07513458550883,154.33138619983418,-936.6529405559178,133.44213219637328,-0.04233636862172299,-0.01908204471828369,-0.703565118254206,0.7091118613006273,-0.014609530666440457,0.01004219116939099,0.6344484036878792,0.7727618902793574
0.05,57.35458275668494,-51.70634537683548,130.0749303384426,154.0020456689018,-936.8617864877936,133.43970505654107,-0.04354277224580858,-0.020024823139625437,-0.7033263718220247,0.7092496373936638,-0.011129617271345014,0.0035788057674653647,0.6124623618191714,0.7904132963985074
0.05,57.845683258596516,-51.73792322400547,130.04155837928104,154.0450112356647,-936.5622660763801,133.56299782499198,-0.040746217354305815,-0.020230332492993996,-0.7079314397989079,0.7048145543068643,-0.015635891205003263,0.008407957062097538,0.622046608934455,0.782778922479018
0.05,61.44704667833783,-51.67488735300554,130.08498892897973,154.33755431250174,-936.5775371649408,133.45998411239498,-0.04107445254148204,-0.02041038079990433,-0.7081233939058562,0.7045974486948361,-0.015136239482682955,0.009954502601604822,0.6340434391402897,0.773085195444481
0.05,61.92153871978079,-51.65338620252615,130.12138261743917,154.3314010468071,-936.4965991716919,133.46028156732666,-0.04118438162127427,-0.020499360806992183,-0.707946226308429,0.7047664603062725,-0.015145394490382895,0.010232041739253345,0.6335254630224019,0.773505921147232
0.05,63.389727356065826,-51.63961003804254,130.12092281664664,154.4582653232457,-936.213494562652,133.466260780477,-0.043624186651450805,-0.020012703635201745,-0.7037807315318939,0.7087941195838474,-0.016391337718047343,0.010716194640256563,0.6335586198125229,0.7734468064977035
0.05,63.8244615520193,-51.61200534568639,130.14123482176177,154.47274058367634,-936.2020894568304,133.4828015367635,-0.04303500664095536,-0.019894330945407913,-0.7039565401625999,0.7086588695288797,-0.01628779106691567,0.010846727632884683,0.6334173461281987,0.7735628752633675
0.05,67.69528237737127,-51.62103556655454,130.08261514698594,154.52213496662867,-935.9685328215763,133.48473592378,-0.03820474025783878,-0.0179770959621912,-0.7103213942841559,0.7026099477411418,-0.017274492498676828,0.011581054873801538,0.6342446874168517,0.7728526040328927
0.05,68.058365979945,-51.61798698077042,130.06215979325674,154.52704015616504,-935.917845150524,133.49910416168353,-0.037559889953003314,-0.01741012725749582,-0.7104335589227418,0.702545586059697,-0.017750352369929206,0.011747139823345907,0.6339057573687849,0.7731173393938475
0.05,71.17134205587003,-51.58674305008857,130.11631821307657,156.3568267324517,-936.0140055448809,133.56017582037705,-0.03941283226229965,-0.018539831688234896,-0.7096143684062195,0.7032427400588491,-0.017975568234460795,0.012247449142700203,0.6383762218687014,0.7694171029349347
0.05,71.54227868278393,-51.5618045066914,130.12664964710316,156.4388910103464,-935.8028499542806,133.51272001323534,-0.03934797990328232,-0.01867656769686332,-0.7097323942445366,0.7031236383855354,-0.020267580760837674,0.01303976263836903,0.6233173498582153,0.7815975122313078
0.05,72.99488810779879,-51.56960382522785,130.09727615109014,160.3433258487617,-934.379136042262,133.74503782882505,-0.03820834112630159,-0.01762029289223264,-0.7098051994473499,0.7031402611031998,-0.022875088530244416,0.016189341220048083,0.6307098666508507,0.7755125399791163
0.05,73.44006698490912,-51.53153895964741,130.14926394894871,160.925965227928,-934.3684041838419,133.59394315826137,-0.03970755719769934,-0.0192696062197489,-0.7081825810038268,0.7046484401034927,-0.016594121021547236,0.021839037972834124,0.6379856254519255,0.7695596359507552
0.05,74.96221207335554,-51.56255792195507,130.1665385414486,162.44685694195854,-935.9647643741419,133.45532810969087,-0.03754023741306969,-0.018665699053107724,-0.7124688590440278,0.7004501746350916,-0.017126936613376914,0.012094677834095246,0.6280674107674391,0.777876413283123
0.05,77.29987562959697,-51.54706466216942,130.10621407528998,164.72465884695205,-935.6303019700925,133.5025930586836,-0.03884067262622435,-0.0181968185025067,-0.7095894205452251,0.7033087033420112,-0.01903372799337394,0.012359710073689877,0.6318637418355519,0.7747471629629524
0.05,81.09341673866395,-51.537879107119345,130.08629524325937,169.99761101798612,-936.5695490317988,133.4187144476168,-0.03881031820001859,-0.018321820417817915,-0.7097456237466987,0.7031495002275123,-0.01570514360420027,0.005921895313613598,0.5991765027063305,0.8004410023386338
0.05,81.35850993838727,-51.542981950767334,130.0495776610621,170.11469499914458,-936.3243186044742,133.32473019605231,-0.03827188732347859,-0.017646350052062183,-0.7100071171732545,0.7029322602739637,-0.01117228886044686,0.01188030163215664,0.6031181574754072,0.7974851262050081
0.05,81.57589355042633,-51.57960737039577,130.0320112436815,176.34090088806025,-936.0001775779182,133.4891800325419,-0.038184790515988866,-0.01795443761361955,-0.7097479205007617,0.7031909052939133,-0.01562894374556515,0.01452776079511323,0.6527501544501979,0.7572726828223244
0.05,81.58036825408666,-51.597465877803856,130.00383546501487,177.7255398880652,-935.9752441142803,133.44624187036806,-0.037255695294515764,-0.017398240191895724,-0.7099157941804126,0.7030852576889529,-0.020290102716377743,0.013298299236645581,0.6252224796166516,0.780069431493875
0.05,81.5830096764107,-51.535913039299686,130.04992658252297,182.7626837028691,-936.0973755005684,133.4092649979681,-0.03795386292000997,-0.017809630327718783,-0.7097288324694957,0.7032263545392234,-0.015006651383514535,0.009946857907852357,0.6152931882581668,0.7880927311650037
